sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
07-08-2025 - DE - Xiaomi,Adset 1,120231700902730210,120231700903000210,2025-08-12,55,37,67.27,3.64,0.3785,20.82,51,2,-58.69,8.6,-12.22,DE,Germany,0.41306434135137643,0.03636363570247935,-0.5869356106178861,-1,PAUSE,Outlier with poor ROI -58.7%,Pause campaign immediately,0,1,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 2,Adset 1,120230446031020186,120230446030860186,2025-08-12,5,4,80.0,0.0,1.216,6.08,4,0,-100.0,0.0,-6.08,DE,Germany,0.0,0.0,-0.9999998355263429,-1,PAUSE,Outlier with poor ROI -100.0%,Pause campaign immediately,0,1,HIGH
06-08-2025 - DE - Kinder - Overlay - Creatives 5,Adset 2,120230447744230186,120230447635650186,2025-08-12,5,2,40.0,0.0,1.058,5.29,5,0,-100.0,0.0,-5.29,DE,Germany,0.0,0.0,-0.9999998109641188,-1,PAUSE,Outlier with poor ROI -100.0%,Pause campaign immediately,0,1,HIGH
06-08-2025 - DE - Kinder - Overlay - Creatives 5,Adset 3,120230447744100186,120230447635650186,2025-08-12,17,12,70.59,0.0,0.3271,5.56,13,0,-100.0,0.0,-5.56,DE,Germany,0.0,0.0,-0.9999998201439172,-1,PAUSE,Outlier with poor ROI -100.0%,Pause campaign immediately,0,1,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 5,Adset 4,120230447744320186,120230447635650186,2025-08-12,14,7,50.0,0.0,0.4464,6.25,14,0,-100.0,0.0,-6.25,DE,Germany,0.0,0.0,-0.9999998400000256,-1,PAUSE,Outlier with poor ROI -100.0%,Pause campaign immediately,0,1,STANDARD
23-07-2025 - DE - Xiaomi - Creative 1,Adset #3,120229974485210210,120229974433090210,2025-08-12,18,11,61.11,0.0,0.4522,8.14,15,0,-100.0,0.0,-8.14,DE,Germany,0.0,0.0,-0.9999998771498924,-1,PAUSE,Outlier with poor ROI -100.0%,Pause campaign immediately,0,1,STANDARD
01-08-2025 - DE - Rituals - NEW,Adset 5,120231337370270045,120231337089130045,2025-08-12,53,33,62.26,20.75,0.2734,14.49,48,11,226.43,47.3,32.81,DE,Germany,3.2643199955610767,0.2075471658953365,2.2643200645741848,-1,INCREASE_BUDGET,Outlier ROI 226.4%,Increase budget by 45%,45,2,STANDARD
07-07-2025 - US - Aldi - Creative 2,Adset #5,120227960912670075,120227960801870075,2025-08-12,38,19,50.0,13.16,0.1787,6.79,29,5,153.35,17.2,10.41,US,United States,2.533136593057939,0.13157894390581729,1.5331367403333225,-1,INCREASE_BUDGET,Outlier ROI 153.3%,Increase budget by 31%,31,2,STANDARD
05-08-2025 - SE - Willys,Adset 3,120231113712400255,120231112854210255,2025-08-12,47,29,61.7,19.15,0.2206,10.37,39,9,134.33,24.3,13.93,SE,Sweden,2.3432977489587516,0.19148935762788602,1.3432978453907576,-1,INCREASE_BUDGET,Outlier ROI 134.3%,Increase budget by 27%,27,2,STANDARD
05-08-2025 - SE - Rusta,Adset 1,120228896228870232,120228896228860232,2025-08-12,19,9,47.37,21.05,0.2658,5.05,16,4,113.86,10.8,5.75,SE,Sweden,2.1386134378983295,0.21052630470914185,1.1386136359180918,-1,INCREASE_BUDGET,Outlier ROI 113.9%,Increase budget by 23%,23,2,STANDARD
