sub_id_2,total_cost,total_revenue,total_profit,total_clicks,total_conversions,total_roi,total_conversion_rate,total_cpc
120222339848160262,262.47,313.2,50.73,880,116,19.33,13.18,0.3
120222339862650262,841.72,928.8,87.08,2506,344,10.35,13.73,0.34
120226717370310519,16.97,8.6,-8.37,46,2,-49.32,4.35,0.37
120226717449140519,248.89,253.7,4.81,640,59,1.93,9.22,0.39
120226717469630519,72.77,64.5,-8.27,177,15,-11.36,8.47,0.41
120226717692440519,87.09,98.9,11.81,293,23,13.56,7.85,0.3
120226718909030519,141.81,111.8,-30.01,320,26,-21.16,8.12,0.44
120227403362750519,4.39,8.8,4.41,20,2,100.46,10.0,0.22
120227403387550519,319.89,364.6,44.71,971,84,13.98,8.65,0.33
120227403416390519,4.15,4.3,0.15,16,1,3.61,6.25,0.26
120227403451780519,136.68,161.1,24.42,369,37,17.87,10.03,0.37
120227403475770519,163.06,199.8,36.74,449,46,22.53,10.24,0.36
120227403633860519,0.59,0.0,-0.59,3,0,-100.0,0.0,0.2
120227403688350519,306.93,360.3,53.37,758,83,17.39,10.95,0.4
120227403756860519,7.8,0.0,-7.8,19,0,-100.0,0.0,0.41
120227403775700519,40.25,38.7,-1.55,106,9,-3.85,8.49,0.38
120227403860350519,88.58,91.3,2.72,255,21,3.07,8.24,0.35
120227403912540519,86.08,107.9,21.82,218,25,25.35,11.47,0.39
120227403971370519,16.03,8.8,-7.23,34,2,-45.1,5.88,0.47
120227404025090519,1.45,0.0,-1.45,7,0,-100.0,0.0,0.21
120227404131140519,36.64,39.1,2.46,98,9,6.71,9.18,0.37
120227404669260519,0.04,4.3,4.26,2,1,10650.0,50.0,0.02
120227446507070519,3.03,0.0,-3.03,6,0,-100.0,0.0,0.51
120227446525690519,8.67,4.3,-4.37,24,1,-50.4,4.17,0.36
120227446531040519,1.91,0.0,-1.91,2,0,-100.0,0.0,0.95
120227446537340519,9.34,4.3,-5.04,14,1,-53.96,7.14,0.67
120227446554490519,7.08,0.0,-7.08,17,0,-100.0,0.0,0.42
120227446564160519,1.8,0.0,-1.8,5,0,-100.0,0.0,0.36
120227446572630519,22.16,17.2,-4.96,47,4,-22.38,8.51,0.47
120227446579910519,7.6,0.0,-7.6,13,0,-100.0,0.0,0.58
120227446587530519,2.83,4.3,1.47,6,1,51.94,16.67,0.47
120227446597880519,70.92,65.3,-5.62,153,15,-7.92,9.8,0.46
120227446608970519,26.91,21.5,-5.41,47,5,-20.1,10.64,0.57
120227446625420519,13.96,4.3,-9.66,22,1,-69.2,4.55,0.63
120227446642870519,4.93,0.0,-4.93,12,0,-100.0,0.0,0.41
120227446653550519,4.58,0.0,-4.58,10,0,-100.0,0.0,0.46
120227446666270519,26.34,25.8,-0.54,54,6,-2.05,11.11,0.49
120227446674910519,5.08,0.0,-5.08,7,0,-100.0,0.0,0.73
120227446683740519,15.34,8.6,-6.74,33,2,-43.94,6.06,0.46
120227446692610519,16.98,12.9,-4.08,43,3,-24.03,6.98,0.39
120227446699350519,15.64,8.6,-7.04,36,2,-45.01,5.56,0.43
120227446708810519,6.24,4.3,-1.94,12,1,-31.09,8.33,0.52
120227446712930519,4.85,0.0,-4.85,14,0,-100.0,0.0,0.35
120227494926910519,3.01,0.0,-3.01,1,0,-100.0,0.0,3.01
120227494943770519,18.53,8.6,-9.93,36,2,-53.59,5.56,0.51
120227494975920519,3.51,0.0,-3.51,3,0,-100.0,0.0,1.17
120227495002550519,2.18,0.0,-2.18,3,0,-100.0,0.0,0.73
120227495025230519,3.42,4.3,0.88,5,1,25.73,20.0,0.68
120227495044230519,19.83,17.2,-2.63,41,4,-13.26,9.76,0.48
120227495058060519,1.57,0.0,-1.57,1,0,-100.0,0.0,1.57
120227495072290519,6.0,4.3,-1.7,14,1,-28.33,7.14,0.43
120227495106100519,5.25,0.0,-5.25,2,0,-100.0,0.0,2.62
120227495178300519,3.09,0.0,-3.09,2,0,-100.0,0.0,1.54
120227495272360519,5.97,4.3,-1.67,7,1,-27.97,14.29,0.85
120227495341490519,83.13,82.3,-0.83,194,19,-1.0,9.79,0.43
120227495398510519,14.9,8.6,-6.3,18,2,-42.28,11.11,0.83
120227495443050519,7.73,0.0,-7.73,11,0,-100.0,0.0,0.7
120227495473240519,1.93,0.0,-1.93,1,0,-100.0,0.0,1.93
120227495511630519,5.21,0.0,-5.21,1,0,-100.0,0.0,5.21
120227495527570519,4.32,4.3,-0.02,7,1,-0.46,14.29,0.62
120227495539540519,2.7,0.0,-2.7,1,0,-100.0,0.0,2.7
120227495593960519,6.42,4.3,-2.12,13,1,-33.02,7.69,0.49
120227495627670519,25.22,25.8,0.58,50,6,2.3,12.0,0.5
120227495645240519,2.93,0.0,-2.93,2,0,-100.0,0.0,1.47
120227495663670519,1.68,0.0,-1.68,1,0,-100.0,0.0,1.68
120227651108530519,24.12,22.1,-2.02,64,5,-8.37,7.81,0.38
120227651124530519,5.48,0.0,-5.48,15,0,-100.0,0.0,0.37
120227651146890519,16.14,8.6,-7.54,43,2,-46.72,4.65,0.38
120227651169990519,5.49,0.0,-5.49,17,0,-100.0,0.0,0.32
120227651186670519,5.39,0.0,-5.39,17,0,-100.0,0.0,0.32
120227651204990519,7.9,4.3,-3.6,31,1,-45.57,3.23,0.25
120227651219030519,8.04,4.3,-3.74,14,1,-46.52,7.14,0.57
120227651229760519,45.14,48.1,2.96,125,11,6.56,8.8,0.36
120227651241190519,7.78,4.3,-3.48,26,1,-44.73,3.85,0.3
