sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country
01-08-2025 - DE - Action - NEW,Adset 3,120238290950240386,120238290039790386,2025-08-04,44,29,65.91,9.09,0.1602,7.05,37,4,143.97,17.2,10.15,DE,Germany
01-08-2025 - DE - Action - NEW,Adset 4,120238290950260386,120238290039790386,2025-08-04,8,3,37.5,0.0,0.2538,2.03,7,0,-100.0,0.0,-2.03,DE,Germany
01-08-2025 - DE - Action - NEW,Adset 5,120238290950280386,120238290039790386,2025-08-04,99,52,52.53,11.11,0.2406,23.82,87,11,98.57,47.3,23.48,DE,Germany
01-08-2025 - DE - Gillette - NEW,Adset 4,120228469822280289,120228469622160289,2025-08-04,150,96,64.0,8.0,0.2345,35.1723,134,12,53.53,54.0,18.83,DE,Germany
01-08-2025 - DE - Rituals - NEW,Adset 1,120231337089140045,120231337089130045,2025-08-04,120,66,55.0,11.67,0.2336,28.03,108,14,114.77,60.2,32.17,DE,Germany
01-08-2025 - DE - Rituals - NEW,Adset 3,120231337370240045,120231337089130045,2025-08-04,17,11,64.71,23.53,0.3465,5.89,16,4,192.02,17.2,11.31,DE,Germany
01-08-2025 - DE - Rituals - NEW,Adset 4,120231337370250045,120231337089130045,2025-08-04,7,5,71.43,14.29,0.2914,2.04,6,1,110.78,4.3,2.26,DE,Germany
01-08-2025 - DE - Rituals - NEW,Adset 5,120231337370270045,120231337089130045,2025-08-04,13,8,61.54,23.08,0.2115,2.75,12,3,369.09,12.9,10.15,DE,Germany
01-08-2025 - SE - Marabou - NEW,Adset 3,120232140298910295,120232140160270295,2025-08-04,43,23,53.49,9.3,0.2602,11.19,41,4,25.11,14.0,2.81,SE,Sweden
01-08-2025 - SE - Marabou - NEW,Adset 4,120232140298920295,120232140160270295,2025-08-04,43,23,53.49,4.65,0.2656,11.42,39,2,-38.7,7.0,-4.42,SE,Sweden
01-08-2025 - SE - Marabou - NEW,Adset 5,120232140298930295,120232140160270295,2025-08-04,113,48,42.48,7.96,0.2263,25.57,103,9,23.19,31.5,5.93,SE,Sweden
01-08-2025 - SE - Milwaukee,Adset 1,120231266805850153,120231266805660153,2025-08-04,6,2,33.33,16.67,0.2467,1.48,6,1,82.43,2.7,1.22,SE,Sweden
01-08-2025 - SE - Milwaukee,Adset 3,120231267063100153,120231266805660153,2025-08-04,24,14,58.33,8.33,0.2938,7.05,23,2,-23.4,5.4,-1.65,SE,Sweden
01-08-2025 - SE - Milwaukee,Adset 5,120231267063120153,120231266805660153,2025-08-04,28,10,35.71,0.0,0.3393,9.5,26,0,-100.0,0.0,-9.5,SE,Sweden
01-08-2025 - SE - Milwaukee - NEW,Adset 2,120231098442660153,120231097634260153,2025-08-04,7,2,28.57,0.0,0.3229,2.26,6,0,-100.0,0.0,-2.26,SE,Sweden
01-08-2025 - SE - Milwaukee - NEW,Adset 3,120231098442670153,120231097634260153,2025-08-04,48,18,37.5,6.25,0.2944,14.13,42,3,-42.68,8.1,-6.03,SE,Sweden
01-08-2025 - SE - Milwaukee - NEW,Adset 4,120231098442690153,120231097634260153,2025-08-04,22,13,59.09,4.55,0.1318,2.9,15,1,-6.9,2.7,-0.2,SE,Sweden
01-08-2025 - SE - Milwaukee - Overlay,Adset 1,120231266640020153,120231266639740153,2025-08-04,18,6,33.33,5.56,0.2961,5.33,16,1,-49.34,2.7,-2.63,SE,Sweden
01-08-2025 - SE - Milwaukee - Overlay,Adset 3,120231266708010153,120231266639740153,2025-08-04,10,3,30.0,10.0,0.308,3.08,9,1,-12.34,2.7,-0.38,SE,Sweden
01-08-2025 - SE - Milwaukee - Overlay,Adset 4,120231266708050153,120231266639740153,2025-08-04,15,9,60.0,6.67,0.2007,3.01,11,1,-10.3,2.7,-0.31,SE,Sweden
01-08-2025 - SE - Milwaukee - Overlay,Adset 5,120231266708070153,120231266639740153,2025-08-04,91,41,45.05,13.19,0.3392,30.87,83,12,4.96,32.4,1.53,SE,Sweden
01-08-2025 - US - Aldi - NEW,Adset 1,120229856130070075,120229856129820075,2025-08-04,204,132,64.71,5.88,0.1952,39.82,180,12,4.05,41.43,1.61,US,United States
02-08-2025 - SE - Rituals,Adset 1,120228730572350232,120228730572360232,2025-08-04,23,11,47.83,8.7,0.1239,2.85,22,2,89.47,5.4,2.55,SE,Sweden
02-08-2025 - SE - Rituals,Adset 2,120228731013320232,120228730572360232,2025-08-04,10,6,60.0,10.0,0.134,1.34,10,1,101.49,2.7,1.36,SE,Sweden
02-08-2025 - SE - Rituals,Adset 3,120228731013330232,120228730572360232,2025-08-04,77,39,50.65,12.99,0.1364,10.5,62,10,157.14,27.0,16.5,SE,Sweden
